restaurant_id,name,lat,lng,zone_id,zone_name
R-0001,SADGURU RESTAURANT,19.0622302,72.9007583,2,Kothrud
R-0002,Cafe Madras,19.0276726,72.8550473,3,Viman Nagar
R-0003,Ganga Vihar Restaurant,19.0310254,72.845472,3,Viman Nagar
R-0004,Mini Punjab,19.0653282,72.8312029,1,Baner
R-0005,Domino's,19.0542862,72.8932735,2,Kothrud
R-0006,lucky restaurant,19.0612649,72.9067792,2,Kothrud
R-0007,Sadguru,19.068838,72.9059636,2,Kothrud
R-0008,Amber,19.0557033,72.8448243,1,Baner
R-0009,Vrindavan,19.0691603,72.8394827,1,Baner
R-0010,Sahara,19.0796355,72.8799871,5,Kharadi
R-0011,Skyway,19.0805957,72.8812014,5,Kharadi
R-0012,Hotel Ravi Pure Veg,19.0747496,72.8709793,4,Wakad
R-0013,GULAM MOHHAMED SHUBRATI BUILDING;suleman usman mithiwala,19.0621078,72.8769645,4,Wakad
R-0014,Sheetal Restaurant,19.0647322,72.8823854,4,Wakad
R-0015,cafe nar restarunt,19.064423,72.8818866,4,Wakad
R-0016,sawali hotel,19.0630215,72.8828264,4,Wakad
R-0017,Metro,19.0604661,72.8727812,4,Wakad
R-0018,Me So Happy,19.0712279,72.8338775,1,Baner
R-0019,Light Of Bharat,19.0242417,72.8376485,3,Viman Nagar
R-0020,Soda Bottle Opener Wala,19.063466,72.862225,4,Wakad
R-0021,Tavaa Restaurant,19.0596353,72.8324442,1,Baner
R-0022,Sigdi,19.0615863,72.8333786,1,Baner
R-0023,Simply Delicious,19.0335658,72.839688,3,Viman Nagar
R-0024,Deepa Bar and Restaurant,19.0553221,72.8364634,1,Baner
R-0025,Stomach,19.0597451,72.8340932,1,Baner
R-0026,Restaurant 26,19.0567665,72.8469954,1,Baner
R-0027,Ram Ashray South Indian,19.0280158,72.8517121,3,Viman Nagar
R-0028,Restaurant 28,19.0256504,72.8405857,3,Viman Nagar
R-0029,Restaurant 29,19.039474,72.8453162,3,Viman Nagar
R-0030,Restaurant 30,19.0453302,72.8648136,0,Hinjewadi
R-0031,And Chillis,19.0388685,72.8422221,3,Viman Nagar
R-0032,Restaurant 32,19.0609265,72.8523096,1,Baner
R-0033,Gomantak Boarding House,19.0232897,72.8422028,3,Viman Nagar
R-0034,Elco Restaurant,19.0558511,72.8331336,1,Baner
R-0035,Jai Jawan,19.0642496,72.8346675,1,Baner
R-0036,Ice and Spice,19.0527402,72.8312867,1,Baner
R-0037,Rajwada Thal™,19.0655213,72.8616144,4,Wakad
R-0038,Kailash Sarovar,19.0654768,72.8616466,4,Wakad
R-0039,Restaurant 39,19.0598965,72.8339617,1,Baner
R-0040,Restaurant 40,19.0411258,72.8407666,3,Viman Nagar
R-0041,Restaurant 41,19.0410076,72.8407969,3,Viman Nagar
R-0042,Restaurant 42,19.0614924,72.8997348,2,Kothrud
R-0043,Geeta Bhawan,19.0607375,72.9003482,2,Kothrud
R-0044,Restaurant 44,19.0195883,72.8407118,3,Viman Nagar
R-0045,Restaurant 45,19.0327846,72.8544383,3,Viman Nagar
R-0046,A Rama Nayak's Shrikrishna Boarding,19.0273999,72.850662,3,Viman Nagar
R-0047,Burn Bar and Kitchen,19.0722688,72.8703023,4,Wakad
