restaurant_id,name,lat,lng,zone_id,zone_name
R-0001,The Charcoal Pit,18.5167868,73.8791405,4,Wakad
R-0002,Nisarg,18.5067094,73.8321992,1,Baner
R-0003,Le Pizzeria,18.5396305,73.8833529,0,Hinjewadi
R-0004,Asia Kitchen,18.538908,73.8752478,0,Hinjewadi
R-0005,Thousand Oaks,18.5104212,73.8799164,4,Wakad
R-0006,11 East Street Cafe,18.5199422,73.8804464,4,Wakad
R-0007,Kareem's,18.5140857,73.8796502,4,Wakad
R-0008,Kwality,18.5150767,73.8799074,4,Wakad
R-0009,Sheetal Arch,18.5124763,73.880839,4,Wakad
R-0010,Sigree,18.5395737,73.8750368,0,Hinjewadi
R-0011,Flags,18.5272989,73.877989,0,Hinjewadi
R-0012,Ram Krishna,18.5191213,73.8785611,4,Wakad
R-0013,Trinco,18.5265172,73.8872945,0,Hinjewadi
R-0014,Blue Nile,18.5217526,73.8774667,4,Wakad
R-0015,George,18.5173226,73.8794126,4,Wakad
R-0016,Mahesh Lunch Home,18.5208896,73.8725539,4,Wakad
R-0017,Zamu's Place,18.5365716,73.8757543,0,Hinjewadi
R-0018,Chung Fa,18.5169144,73.8794546,4,Wakad
R-0019,Mayur Thali,18.5166042,73.8795245,4,Wakad
R-0020,Pizza Hut,18.5191455,73.8775238,4,Wakad
R-0021,Darshan,18.5140762,73.8409178,2,Kothrud
R-0022,Cafe Good Luck,18.5172995,73.8414591,2,Kothrud
R-0023,One way Food,18.4922841,73.8337744,1,Baner
R-0024,Abhishek Veg,18.5037935,73.8306467,1,Baner
R-0025,Panchami Hotel,18.4926639,73.8574632,3,Viman Nagar
R-0026,Vedant,18.4887519,73.8571728,3,Viman Nagar
R-0027,Restaurant 27,18.4922365,73.8559341,3,Viman Nagar
R-0028,Abhiman Restaurant,18.5405197,73.8192184,5,Kharadi
R-0029,Eddie's Kitchen,18.5175183,73.8748581,4,Wakad
R-0030,Sicilia Italian Restaurant & Lounge,18.539333,73.87508,0,Hinjewadi
R-0031,Panchvati Gaurav,18.5178988,73.8386127,2,Kothrud
R-0032,Wadeshwar,18.5184279,73.8416116,2,Kothrud
R-0033,Amrapali,18.518642,73.8415805,2,Kothrud
