restaurant_id,name,lat,lng,zone_id,zone_name
R-0001,The Charcoal Pit,18.5167868,73.8791405,2,Kothrud
R-0002,The Great Punjab,18.5364098,73.8973015,2,Kothrud
R-0003,Hard Rock Cafe,18.5387955,73.912781,2,Kothrud
R-0004,Stone Water Grill,18.5383533,73.9126684,2,Kothrud
R-0005,Nisarg,18.5067094,73.8321992,0,Hinjewadi
R-0006,Le Pizzeria,18.5396305,73.8833529,2,Kothrud
R-0007,Asia Kitchen,18.538908,73.8752478,2,Kothrud
R-0008,Thai House,18.5690389,73.8321526,1,Baner
R-0009,Yummy Tummy,18.5124118,73.9284574,2,Kothrud
R-0010,Seasonal Tastes,18.5391023,73.9061842,2,Kothrud
R-0011,Haka,18.5062169,73.9013284,2,Kothrud
R-0012,Thousand Oaks,18.5104212,73.8799164,2,Kothrud
R-0013,11 East Street Cafe,18.5199422,73.8804464,2,Kothrud
R-0014,Kareem's,18.5140857,73.8796502,2,Kothrud
R-0015,Kwality,18.5150767,73.8799074,2,Kothrud
R-0016,Sheetal Arch,18.5124763,73.880839,2,Kothrud
R-0017,Sigree,18.5395737,73.8750368,2,Kothrud
R-0018,Flags,18.5272989,73.877989,2,Kothrud
R-0019,Ram Krishna,18.5191213,73.8785611,2,Kothrud
R-0020,Trinco,18.5265172,73.8872945,2,Kothrud
R-0021,Prego,18.5393141,73.9061183,2,Kothrud
R-0022,Kangan,18.5399703,73.9061077,2,Kothrud
R-0023,Rajwada,18.5494,73.8042565,1,Baner
R-0024,Up and Above,18.5064267,73.7839701,3,Viman Nagar
R-0025,Blue Nile,18.5217526,73.8774667,2,Kothrud
R-0026,George,18.5173226,73.8794126,2,Kothrud
R-0027,Mahesh Lunch Home,18.5208896,73.8725539,2,Kothrud
R-0028,Toit brewery and Resturant,18.5540074,73.9051438,2,Kothrud
R-0029,Rajdhani,18.5452508,73.9063531,2,Kothrud
R-0030,Hotel Mahableshwar,18.5552434,73.7983529,1,Baner
R-0031,Zamu's Place,18.5365716,73.8757543,2,Kothrud
R-0032,Chung Fa,18.5169144,73.8794546,2,Kothrud
R-0033,Mayur Thali,18.5166042,73.8795245,2,Kothrud
R-0034,Hotel Parichay,18.5435148,73.7841772,1,Baner
R-0035,Hotel Prasanna,18.5435326,73.7844503,1,Baner
R-0036,Shivanjali Restaurant and Bar,18.5425963,73.7887912,1,Baner
R-0037,गोकुळ,18.588516,73.7830226,1,Baner
R-0038,Atlantis,18.4909464,73.9002064,4,Wakad
R-0039,Pizza Hut,18.5191455,73.8775238,2,Kothrud
R-0040,Hotel Palavi,18.5098693,73.8144673,3,Viman Nagar
R-0041,Global Punjab,18.5096188,73.9283508,2,Kothrud
R-0042,Darshan,18.5140762,73.8409178,0,Hinjewadi
R-0043,Cafe Good Luck,18.5172995,73.8414591,0,Hinjewadi
R-0044,Punjab Canteen,18.4965595,73.802295,3,Viman Nagar
R-0045,Hotel Ravikant,18.4747312,73.8560171,4,Wakad
R-0046,Tiger Trail,18.5464794,73.9065617,2,Kothrud
R-0047,Punjabi Dhaba,18.5651701,73.9113565,2,Kothrud
R-0048,One way Food,18.4922841,73.8337744,0,Hinjewadi
R-0049,Pruthvi Vegetarianism,18.4945107,73.8134701,3,Viman Nagar
R-0050,Basuri,18.4800904,73.8569229,4,Wakad
R-0051,Khooshabu,18.4633503,73.8583829,4,Wakad
R-0052,Shamli,18.5050823,73.9279049,2,Kothrud
R-0053,Bashri,18.5032866,73.9277976,2,Kothrud
R-0054,Abhishek Veg,18.5037935,73.8306467,0,Hinjewadi
R-0055,Meghdoot,18.4807993,73.8752608,4,Wakad
R-0056,Panchami Hotel,18.4926639,73.8574632,0,Hinjewadi
R-0057,Vedant,18.4887519,73.8571728,0,Hinjewadi
R-0058,"Oasis Restaurant, Bar and Banquets",18.4977614,73.7876344,3,Viman Nagar
R-0059,Malaka Spice,18.5374326,73.8973367,2,Kothrud
R-0060,Marrakesh,18.5487745,73.9056726,2,Kothrud
R-0061,Restaurant 61,18.4922365,73.8559341,0,Hinjewadi
R-0062,Abhiman Restaurant,18.5405197,73.8192184,1,Baner
