route_distance,traffic_level,num_stops,hour_of_day,delivery_time_minutes
5930.83,1.8,2,20,42.7
798.48,1.8,3,5,10.18
9453.48,1.3,1,16,34.54
9466.6,1.0,3,2,34.43
7032.24,1.0,3,13,32.09
6882.21,1.0,2,14,21.4
3142.42,1.3,2,21,18.74
1783.14,1.0,1,7,10.81
8325.54,1.3,3,12,34.88
580.07,1.8,2,2,11.73
13931.36,1.3,3,8,66.87
5215.16,1.3,2,2,19.41
10842.05,1.3,2,13,42.56
2064.43,1.0,2,19,14.27
2520.31,1.3,2,3,18.08
9553.13,1.0,1,11,30.65
8320.46,1.8,3,6,45.04
2887.51,1.3,2,0,11.26
14172.19,1.0,2,8,43.85
10596.41,1.3,1,23,29.91
7788.85,1.0,1,0,16.05
8516.95,1.3,1,23,31.96
5832.86,1.3,2,10,35.19
10589.29,1.8,1,3,38.14
3784.19,1.3,1,0,14.53
11160.63,1.0,2,9,46.98
12349.72,1.3,2,1,53.07
3236.25,1.0,2,15,18.81
11808.2,1.3,1,7,45.61
14131.93,1.8,1,13,81.69
9953.44,1.0,2,0,30.55
10953.63,1.0,2,18,38.3
9053.13,1.8,2,7,81.56
7641.51,1.0,2,18,33.98
1132.25,1.8,2,13,15.44
14472.49,1.8,1,20,82.03
7536.56,1.0,1,21,24.8
14855.78,1.0,2,1,37.23
2481.01,1.3,2,9,21.06
12075.28,1.3,2,15,67.41
900.44,1.3,2,21,8.5
1063.1,1.0,2,4,10.14
3629.4,1.3,1,12,13.7
2424.81,1.8,2,18,23.13
6865.09,1.0,1,20,23.24
13770.6,1.0,1,21,42.21
4559.04,1.8,2,4,23.25
11488.77,1.0,1,4,22.72
14702.9,1.0,1,15,51.06
1196.85,1.8,3,19,15.72
7795.48,1.8,2,3,45.8
10318.94,1.3,1,18,51.75
12396.19,1.3,1,12,44.73
5380.04,1.3,1,9,25.18
4586.89,1.0,2,12,21.64
8445.59,1.0,2,2,27.61
5894.26,1.3,1,4,18.21
5977.07,1.3,2,21,26.77
1275.54,1.8,3,8,17.22
9661.64,1.0,1,19,39.28
11977.9,1.3,1,9,71.99
14545.45,1.3,3,16,55.2
10664.05,1.0,3,1,30.83
14235.1,1.8,2,5,60.34
5980.82,1.3,1,18,27.43
1316.4,1.0,1,8,8.42
3943.84,1.0,2,23,12.62
1129.31,1.8,3,3,16.78
8084.92,1.3,2,0,30.55
9491.92,1.0,1,7,37.74
1627.15,1.8,3,21,16.08
4428.89,1.0,1,5,12.67
9394.52,1.0,3,17,44.61
7465.37,1.8,1,21,38.6
1420.92,1.0,1,20,7.15
11650.32,1.8,3,16,60.85
4145.92,1.0,1,0,12.11
10237.81,1.3,2,17,51.13
8633.6,1.8,2,15,50.12
12173.15,1.8,2,1,60.97
6187.54,1.0,3,19,29.95
8092.23,1.3,2,9,45.92
4244.54,1.0,3,20,17.99
8290.32,1.0,2,10,35.51
3137.26,1.0,3,2,15.65
12415.96,1.0,1,21,34.44
7181.29,1.0,1,13,21.25
10472.88,1.3,1,15,33.37
12189.92,1.3,1,14,52.41
8203.35,1.3,1,23,24.33
12744.39,1.3,1,17,52.76
5970.62,1.0,1,6,16.49
3881.64,1.0,2,9,21.47
9009.2,1.3,2,18,39.16
13544.89,1.3,1,12,52.05
12836.85,1.0,3,23,30.28
8105.42,1.0,3,5,29.6
4239.59,1.0,2,1,17.1
4559.7,1.3,1,21,19.34
10754.84,1.3,1,10,56.54
9111.3,1.0,2,4,28.84
4192.29,1.3,2,10,23.48
12017.2,1.0,3,11,46.83
10963.15,1.0,2,10,41.14
2873.01,1.0,3,13,17.61
12340.69,1.0,1,18,48.4
6861.8,1.3,1,14,27.52
2195.02,1.8,2,7,21.56
13240.12,1.0,2,3,44.09
2575.36,1.0,2,4,15.68
12408.23,1.0,3,23,34.35
6429.85,1.3,1,18,40.77
4151.09,1.0,1,9,13.03
9416.78,1.8,1,17,49.67
13145.8,1.8,2,3,60.99
5929.31,1.0,1,13,23.12
7037.17,1.0,3,13,24.01
3797.24,1.3,1,20,17.87
567.16,1.0,1,10,7.15
9012.49,1.0,3,21,31.25
6574.42,1.8,1,10,34.22
14435.52,1.0,2,7,57.61
1472.61,1.3,1,18,7.89
12630.19,1.3,1,18,65.18
6891.06,1.0,2,3,20.86
4425.8,1.3,2,22,24.47
13071.41,1.0,2,2,32.88
9964.82,1.0,1,23,28.73
12538.19,1.0,2,20,46.52
11170.62,1.8,1,18,62.91
13443.74,1.8,1,9,90.03
5759.99,1.8,1,21,27.79
8703.76,1.8,2,16,52.57
6336.98,1.0,2,13,29.54
2989.35,1.0,1,17,12.89
6376.1,1.0,2,20,23.05
13550.27,1.8,2,11,80.68
6363.53,1.3,2,1,24.42
1700.58,1.3,1,20,11.84
9350.87,1.8,1,23,44.91
3616.64,1.0,1,2,12.32
5493.56,1.0,2,10,31.03
1601.03,1.0,1,18,7.52
13801.05,1.0,3,22,36.83
14393.48,1.3,2,16,56.4
7596.66,1.0,3,12,32.35
9029.82,1.8,2,21,43.49
13903.74,1.8,3,17,94.8
7099.58,1.3,2,13,27.54
11009.12,1.0,1,16,37.82
11198.91,1.3,2,11,40.84
14116.48,1.3,3,19,66.94
1045.15,1.0,2,11,10.65
11194.94,1.0,1,13,28.3
10875.52,1.3,1,20,57.79
3664.68,1.8,2,10,28.08
13320.89,1.3,3,1,54.71
7933.98,1.0,1,8,34.7
5576.82,1.0,3,16,21.29
7971.09,1.0,3,2,30.03
3745.36,1.3,2,13,18.64
7411.81,1.0,3,9,35.4
8487.43,1.0,2,14,27.36
14450.77,1.0,3,12,48.51
7468.51,1.3,3,23,34.49
8058.27,1.8,1,15,47.62
10613.34,1.3,2,5,37.31
13246.54,1.0,3,20,55.29
12360.52,1.8,2,6,63.33
2179.74,1.0,1,12,7.85
11534.9,1.3,3,14,52.01
1483.64,1.0,2,21,12.65
1339.85,1.0,3,13,17.56
11494.82,1.0,1,5,30.82
4161.38,1.0,1,1,12.13
12024.74,1.3,1,1,35.42
2404.36,1.8,3,23,23.88
6265.12,1.0,3,0,20.62
11314.64,1.0,3,23,37.54
3190.12,1.8,2,14,21.9
759.0,1.3,1,23,6.89
2200.97,1.0,2,3,13.52
2831.97,1.3,1,1,11.68
1550.48,1.0,2,5,9.22
12971.77,1.3,1,21,46.65
766.33,1.0,1,0,4.68
5233.69,1.3,1,12,18.32
14673.26,1.0,2,14,36.99
2016.23,1.3,2,5,11.33
14060.43,1.8,2,19,101.85
1661.67,1.8,2,21,17.39
1683.63,1.0,1,12,8.13
5270.75,1.0,2,22,14.63
8365.94,1.0,1,18,31.99
944.46,1.0,2,20,9.43
5880.06,1.8,1,16,29.05
926.22,1.0,2,14,12.59
13729.27,1.0,2,7,42.87
11752.0,1.0,2,9,49.03
7638.03,1.0,3,14,30.87
10108.01,1.0,2,1,33.51
6251.57,1.0,1,9,24.22
8036.72,1.0,3,0,24.15
9280.3,1.0,2,16,29.64
8987.64,1.8,1,19,53.71
1070.48,1.0,2,20,7.73
8977.73,1.3,1,17,39.09
13084.82,1.0,2,17,50.96
2323.25,1.0,1,17,9.77
13088.06,1.0,2,22,44.5
753.98,1.0,3,14,13.21
10309.44,1.0,2,20,43.86
5554.32,1.0,2,8,28.19
4685.94,1.0,2,5,16.8
12213.77,1.3,2,18,65.04
5261.53,1.3,2,14,22.41
7006.06,1.0,1,11,21.77
11510.49,1.3,2,7,49.56
871.81,1.0,1,1,4.06
8466.51,1.3,2,10,35.37
609.66,1.3,3,3,15.59
1970.6,1.0,1,19,11.61
8217.77,1.3,1,17,41.86
2286.73,1.8,2,6,19.48
3185.81,1.8,2,21,24.42
14295.35,1.3,3,21,60.32
9875.79,1.0,1,9,38.32
4484.69,1.8,2,9,34.0
2670.71,1.0,1,16,11.51
842.76,1.3,2,10,8.74
9119.91,1.0,3,2,25.89
11005.49,1.0,1,13,26.13
8886.61,1.0,1,7,27.72
5481.63,1.3,2,1,19.19
9782.44,1.0,2,2,30.88
14915.02,1.3,2,1,41.32
8916.89,1.0,3,14,31.15
11464.37,1.0,2,19,39.14
2237.52,1.8,1,19,18.08
9541.99,1.0,2,0,31.76
2809.91,1.0,1,22,7.08
6256.23,1.0,2,22,20.33
8831.52,1.3,1,11,31.54
13230.63,1.8,3,15,83.1
5176.66,1.0,1,2,17.07
2421.61,1.8,3,13,20.52
12525.32,1.0,3,5,35.28
6771.22,1.0,2,17,29.48
504.82,1.0,2,22,5.77
1343.38,1.8,1,23,9.23
2974.64,1.0,2,13,12.75
14952.1,1.8,2,19,88.32
12796.23,1.3,2,2,43.7
11654.92,1.0,2,20,42.89
11524.2,1.0,2,0,28.78
1436.94,1.0,1,16,7.79
12743.18,1.0,2,3,38.98
9404.18,1.8,1,9,68.54
11910.1,1.0,2,15,47.32
10060.63,1.8,2,14,53.28
13295.66,1.0,3,22,38.81
1545.22,1.0,1,4,6.47
7198.23,1.8,3,18,57.04
4343.17,1.0,1,16,15.99
9557.62,1.0,1,16,29.49
5172.12,1.0,2,1,18.89
11347.06,1.8,2,10,59.35
5951.9,1.3,1,17,29.03
2261.77,1.0,3,23,21.5
4247.26,1.3,2,20,27.71
8588.29,1.0,1,21,30.48
2065.18,1.3,1,17,11.69
12690.19,1.3,2,0,48.52
13163.18,1.3,2,14,53.77
12270.41,1.3,3,3,38.24
8548.73,1.3,2,1,33.51
8536.28,1.0,2,21,31.97
10336.49,1.3,3,5,49.8
5840.49,1.0,2,23,16.24
6121.27,1.0,3,13,26.37
3768.86,1.3,1,23,16.52
7724.71,1.0,1,12,24.96
3542.71,1.8,2,12,19.41
3698.87,1.3,2,10,22.97
3015.46,1.3,2,14,14.34
8792.15,1.3,1,9,40.07
850.78,1.8,1,16,8.51
7195.13,1.0,2,4,21.08
1222.71,1.8,3,23,18.22
2462.63,1.3,2,3,9.49
1146.63,1.0,1,22,7.7
7021.23,1.3,1,12,24.53
9485.64,1.3,1,17,42.86
8622.44,1.8,1,11,46.67
7669.98,1.8,1,22,34.38
9323.65,1.0,1,17,33.7
1788.18,1.3,2,23,9.81
10763.61,1.3,1,5,34.81
2543.91,1.3,1,9,14.75
1402.96,1.3,3,9,25.44
7710.21,1.0,3,3,30.49
13253.94,1.8,1,8,83.13
8590.72,1.3,1,2,26.23
10023.31,1.8,1,18,57.79
3207.49,1.0,1,8,13.79
13768.81,1.3,1,19,64.71
9395.36,1.0,3,10,40.52
13462.85,1.3,1,3,43.75
12924.67,1.0,2,22,33.26
13287.95,1.0,1,4,33.95
10930.63,1.8,1,4,48.1
2105.85,1.3,3,1,18.8
5688.07,1.0,3,15,27.64
2558.59,1.0,2,10,15.82
5609.44,1.8,2,14,28.44
5066.33,1.0,2,5,19.99
12637.1,1.0,2,3,32.7
11565.75,1.0,2,3,35.0
11932.49,1.3,1,0,33.1
6002.79,1.0,1,2,15.13
7446.52,1.0,2,13,27.15
13706.17,1.3,3,19,79.69
8608.18,1.3,2,18,43.93
1899.75,1.0,1,23,8.58
1576.49,1.0,2,8,10.28
9101.71,1.8,1,22,45.38
4636.71,1.0,1,13,15.29
1860.93,1.8,2,16,14.3
864.56,1.3,1,21,6.99
6929.01,1.3,2,19,39.72
10308.18,1.0,1,11,31.82
11282.11,1.3,2,5,39.6
1076.61,1.3,3,18,13.2
3343.42,1.3,1,23,10.5
12884.97,1.0,3,19,48.73
7933.68,1.0,3,8,42.89
12364.0,1.3,3,22,46.6
6221.35,1.0,2,7,25.33
10281.81,1.0,2,4,27.28
10455.55,1.0,1,3,22.33
6574.74,1.3,1,18,37.58
5747.84,1.3,1,17,27.4
2737.66,1.0,2,20,15.44
669.75,1.0,1,0,3.71
13696.95,1.8,1,22,58.09
6356.52,1.0,2,5,21.55
12076.51,1.8,3,14,64.24
6198.13,1.3,2,4,23.34
11547.65,1.8,1,9,69.21
6439.62,1.0,2,4,21.69
8913.21,1.3,1,16,32.95
14478.25,1.0,1,21,40.39
6233.8,1.0,1,20,26.59
9242.67,1.8,3,12,50.84
948.6,1.8,2,4,10.02
